Date,RND_MPU_Index
2019-03-01,44.44167262268775
2019-04-01,42.61599453870612
2019-05-01,42.57678276367382
2019-06-01,40.786793354002604
2019-07-01,40.48253008219683
2019-08-01,40.956855926649645
2019-09-01,38.04142822907335
2019-10-01,34.62271944777342
2019-11-01,33.84305662628397
2019-12-01,29.861445875359685
2020-01-01,31.238499113010313
2020-02-01,33.07181741591181
2020-03-01,43.11894822696704
2020-04-01,37.11565701019829
2020-05-01,32.36286964049728
2020-06-01,32.92393675888857
2020-07-01,31.930861966931396
2020-08-01,29.68437058163458
2020-09-01,28.758218926560843
2020-10-01,29.418327144575134
2020-11-01,31.014915951542942
2020-12-01,31.20177026719107
2021-01-01,32.01335363320003
2021-02-01,33.649116935912716
2021-03-01,37.473213363243346
2021-04-01,39.5700662955499
2021-05-01,39.649349097160275
2021-06-01,40.3462925819323
2021-07-01,39.857120829123225
2021-08-01,39.2639742173653
2021-09-01,39.37701324344319
2021-10-01,41.08589943850463
2021-11-01,43.97975980817806
2021-12-01,45.40516366417981
2022-01-01,49.70743916075365
2022-02-01,60.12214885957927
2022-03-01,114.16057978568016
2022-04-01,85.61337154122113
2022-05-01,72.18395095232566
2022-06-01,57.19197879791108
2022-07-01,55.284350694029456
2022-08-01,54.65256580270669
2022-09-01,54.48697497544822
2022-10-01,56.81545102011957
2022-11-01,26.54851751867568
2022-12-01,48.833337525362005
2023-01-01,46.42926699495149
2023-02-01,45.83200175807967
2023-03-01,44.43628157559798
2023-04-01,42.58945200887319
2023-05-01,40.306220129726
2023-06-01,42.14835763517116
2023-07-01,45.65602359387528
2023-08-01,54.18061193503151
2023-09-01,62.18508686252628
2023-10-01,67.20713102523413
2023-11-01,59.410738127521995
2023-12-01,58.71142064696079
2024-01-01,55.38654988852532
2024-02-01,56.69300977282086
2024-03-01,58.320902489101606
2024-04-01,58.72441755638509
2024-05-01,63.69138637769351
2024-06-01,67.6583634195842
2024-07-01,65.61642757544254
2024-08-01,57.52751168683503
2024-09-01,56.705979741419455
2024-10-01,64.92270812542948
2024-11-01,76.76627869655485
2024-12-01,75.11006270412578
2025-01-01,72.5947483387244
2025-02-01,63.3890710458474
2025-03-01,57.6466377813212
2025-04-01,58.76300725160881
2025-05-01,56.754656409427064
2025-06-01,53.76934800495446
2025-07-01,56.027040371945574
2025-08-01,59.143386217971596
2025-09-01,58.458447308767305
2025-10-01,62.92770461624483
2025-11-01,64.28777442851725
2025-12-01,65.65600099368297
2026-01-01,63.920513861376705
2026-02-01,53.59836608990714
2026-03-01,49.50664474031427
