Date,RUONIA_end_of_month,Realized_Vol,GARCH_Vol
2013-01,5.87,1.0691262614610768,1.096052425306858
2013-02,6.16,0.6403048848077016,0.6857554795688913
2013-03,6.28,0.7410295527789148,0.7943022760724153
2013-04,6.52,0.44018971449606575,0.5348142263730418
2013-05,6.29,0.2813089320171823,0.40449536609069703
2013-06,6.49,0.29942270588924,0.4189588590018552
2013-07,6.14,0.3906093784743243,0.4804763783898029
2013-08,6.09,0.3126708472592546,0.4190882433374234
2013-09,6.53,0.22320145100912595,0.3883992592754401
2013-10,6.34,1.019425405551258,1.0405650076983215
2013-11,6.51,0.631637760913843,0.6841547664082233
2013-12,6.24,0.40649409203669723,0.47755372576782135
2014-01,6.29,0.8054307083067486,0.8498106325716313
2014-02,6.32,0.9324944860503309,0.9548772234283186
2014-03,8.15,0.6365248103703111,0.7251283173891977
2014-04,8.69,0.754782592373004,0.7968736944011888
2014-05,8.19,0.9427721631957505,0.9661940512236448
2014-06,8.63,0.43580886563844934,0.5142692695510082
2014-07,8.1,0.8400250943401173,0.8533744792922898
2014-08,8.11,0.6322221150947649,0.7190025691689382
2014-09,8.08,0.5018151236533055,0.5684994120732533
2014-10,9.06,0.406637268831987,0.4969729697074032
2014-11,10.69,0.6320493073135235,0.7125440942473936
2014-12,17.39,2.1234438747442472,2.1289929861156254
2015-01,16.63,0.1181377481198851,0.33786659423665655
2015-02,15.49,0.46883854772218597,0.5450200768523306
2015-03,14.66,0.3939659590047895,0.48616059062461103
2015-04,14.45,0.4229792232677818,0.502773701810681
2015-05,13.19,0.6535000172002421,0.7057121462789382
2015-06,12.4,0.3214041918427617,0.4347117585516397
2015-07,11.19,0.49656397752737247,0.566315897459306
2015-08,11.04,0.3155060700472302,0.43545593944316324
2015-09,11.45,0.3525107174738462,0.4570193349379762
2015-10,11.46,0.3528393175030888,0.4561286334031399
2015-11,11.32,0.32597162173302197,0.433570407847764
2015-12,10.52,0.3462328668025608,0.4270278062721563
2016-01,11.07,0.1510568846872431,0.3848574683196297
2016-02,10.93,0.23714656931463063,0.3717962523039598
2016-03,11.29,0.2302829671802064,0.37895281833797334
2016-04,11.09,0.34012301565321673,0.4360285630042356
2016-05,11.24,0.34000281821129796,0.4570257115690184
2016-06,10.41,0.28753800436674715,0.40901816132342406
2016-07,10.34,0.24807082471348652,0.3823351596467443
2016-08,10.3,0.18269672888903243,0.34850799343455513
2016-09,10.55,0.2723573972170269,0.39899954290616774
2016-10,10.36,0.251533596195362,0.3843959052304559
2016-11,10.09,0.3552451214349517,0.45734114617058064
2016-12,10.5,0.1406684092607846,0.3332748455468376
2017-01,10.24,0.2803343933227717,0.40329956636619024
2017-02,10.0,0.22973627403542535,0.3678632854936733
2017-03,9.82,0.22282365528468673,0.3649081226790751
2017-04,9.71,0.24981595003629928,0.3872501182198134
2017-05,9.15,0.34621345862053465,0.45222449987487756
2017-06,9.09,0.2900959573955015,0.41051295830744244
2017-07,9.24,0.2339953842223705,0.3754568947529165
2017-08,8.71,0.30258601780694555,0.41573383198677466
2017-09,8.49,0.4335456281741174,0.5181607842063032
2017-10,8.02,0.37484979539435603,0.4699698968904516
2017-11,8.24,0.1980831908865081,0.36250295923233167
2017-12,7.19,0.3473184548475349,0.4450819007548953
2018-01,7.12,0.33654919492497504,0.4388417169780358
2018-02,7.5,0.24551066233079888,0.4028737669014782
2018-03,7.19,0.30452248137644156,0.4084349359977826
2018-04,7.07,0.23918863893135847,0.38934561135828843
2018-05,7.1,0.29601029922944627,0.4170785486813397
2018-06,7.16,0.29670768288059457,0.4149469409803568
2018-07,7.74,0.4558987867447614,0.5400175875664557
2018-08,7.14,0.4035435601367613,0.49663775332960297
2018-09,7.4,0.3451700624849836,0.44275898676625386
2018-10,7.06,0.2781062760801071,0.41047852181669375
2018-11,7.5,0.40960461828726746,0.49172275350078537
2018-12,7.07,0.3016423213491267,0.3672086994117518
2019-01,7.62,0.30113046273563193,0.4924266477766616
2019-02,7.54,0.26906258571855024,0.39489229984413754
2019-03,7.81,0.2640148988241242,0.37399457498703553
2019-04,7.96,0.3230841044878606,0.44891822630084394
2019-05,7.89,0.4021489167654473,0.49006848849748547
2019-06,7.55,0.191389491205251,0.3597484868883017
2019-07,7.3,0.22173450558514693,0.3671212715212871
2019-08,7.13,0.2576998849766281,0.38753338456727576
2019-09,6.89,0.29304587465229903,0.4116300069057992
2019-10,6.6,0.2847180521141706,0.4074964517776617
2019-11,6.6,0.24503417361761462,0.37943846460685293
2019-12,6.23,0.21701572227531504,0.3701769279324279
2020-01,6.05,0.27365402021515706,0.39520422259272087
2020-02,6.32,0.2708091567066111,0.3357970133200076
2020-03,6.24,0.5111026297449021,0.5870930309899295
2020-04,5.76,0.4164970603664438,0.5360119645876954
2020-05,5.47,0.4018739775194864,0.49926989093758445
2020-06,4.38,0.3609140400584398,0.47469118177088077
2020-07,4.26,0.30730664113001765,0.4304198008730209
2020-08,4.1,0.3516781688763258,0.4512325369361447
2020-09,4.19,0.41559120213578143,0.5082207047169119
2020-10,4.26,0.28728237871605505,0.41021877207846663
2020-11,4.07,0.46169390764927354,0.5373968102710869
2020-12,4.27,0.5699676282155912,0.6320791711409067
2021-01,4.43,0.24551831426603507,0.35932755696632557
2021-02,4.18,1.083013042058299,1.1033572596563037
2021-03,4.45,0.406563893780047,0.5019037659772574
2021-04,4.84,0.5048370987579629,0.5811896057093147
2021-05,4.85,0.5257204563539959,0.5880502892153077
2021-06,5.28,0.5468151319890804,0.6163321202932168
2021-07,6.76,0.532458968958835,0.5913640093975074
2021-08,6.48,0.5558894134732221,0.6639819116701642
2021-09,6.78,0.29409960842178295,0.4134255278926953
2021-10,7.35,0.3828737188551989,0.4882237424611365
2021-11,7.27,0.33450808989783837,0.43968714678824966
2021-12,8.13,0.4418033951825051,0.5320388688195523
2022-01,8.28,0.12437175223935319,0.3273623944435872
2022-02,20.0,2.5082290164063017,0.4768484243356997
2022-03,19.25,0.2679351935765239,2.3851453830775213
2022-04,16.56,0.5848013078395427,0.6490485697022729
2022-05,10.75,1.0981264509042798,1.1528258632450876
2022-06,9.0,0.3965443895733112,0.519501004587362
2022-07,8.1,0.5534642366975422,0.6177058901724805
2022-08,8.03,0.30093090567439584,0.41413326277653023
2022-09,7.86,0.26388629149286635,0.39766719044433374
2022-10,7.54,0.25387957822581286,0.386124662665407
2022-11,7.18,0.41503986678460086,0.5026735441056293
2022-12,7.37,0.16906795826727278,0.34380794105916695
2023-01,7.11,0.20946238933697833,0.35382322195285026
2023-02,7.51,0.27399004347673783,0.409377864979921
2023-03,7.25,0.2720180333471266,0.3972839100474587
2023-04,7.53,0.4719538991518073,0.40157125124807425
2023-05,7.37,0.36420911973005854,0.597085023449784
2023-06,7.45,0.18798335976853628,0.3492321471195013
2023-07,8.42,0.2617844073741416,0.41059023254856936
2023-08,11.84,1.0627770085039008,1.1123260152840138
2023-09,12.43,0.13686285541604207,0.33116366804943803
2023-10,14.5,0.5638947800286273,0.5988206177593802
2023-11,14.91,0.1449007336156737,0.40514255296077084
2023-12,15.27,0.18072000331757335,0.3492578503331528
2024-01,16.0,0.16941193153343276,0.34619987511425715
2024-02,15.75,0.07398578213479835,0.3053945636557339
2024-03,15.99,0.2131687662887622,0.3380671592454932
2024-04,15.86,0.1374081394916072,0.3497205877267458
2024-05,16.14,0.11661101481026805,0.31945280699240824
2024-06,15.66,0.1324634190394847,0.32464223781843043
2024-07,17.28,0.4050716541820652,0.5011051629489518
2024-08,18.98,0.21799257313277937,0.36720463747108856
2024-09,18.41,0.23959848681122392,0.39321600531680123
2024-10,20.57,0.3235593734995899,0.4446013597100995
2024-11,21.09,0.12825651352712675,0.3243425503439438
2024-12,20.47,0.25260854134446614,0.3884143380117028
2025-01,20.76,0.18767501140080567,0.34968072335992545
2025-02,21.17,0.16177059246233377,0.33903890732737973
2025-03,21.45,0.12436362098469232,0.31403479092131287
2025-04,20.74,0.110791705579452,0.3236831470313974
2025-05,21.03,0.07783654014010719,0.30425482029982376
2025-06,20.23,0.19257875160387744,0.34681938137792007
2025-07,18.23,0.1391979071019222,0.3334938180104743
2025-08,17.75,0.17970299410225063,0.3476669571819694
2025-09,16.99,0.14838726416299142,0.33024271671301203
2025-10,16.29,0.10522756180451957,0.31379017053874414
2025-11,16.25,0.08246488768587559,0.3081759655826841
2025-12,15.85,0.11879217541888584,0.31878629718974544
2026-01,15.83,0.1730038362257221,0.340231744253742
2026-02,15.3,0.09674277752419941,0.3118117444226794
2026-03,14.87,0.10567349168987694,0.31392443792230945
2026-04,14.81,0.03045241997211365,0.3004294284355259
